City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
200,Kwinana,AU,2020-10-30 01:30:37,-32.25,115.77,82.99,29,87,14.99
201,San Patricio,US,2020-10-30 01:30:37,28.02,-97.52,62.6,51,20,11.41
202,Kati,ML,2020-10-30 01:30:37,12.74,-8.07,68.0,60,0,5.82
203,Buta,CD,2020-10-30 01:30:37,2.79,24.73,69.69,98,100,1.25
204,Sambava,MG,2020-10-30 01:30:37,-14.27,50.17,73.24,83,19,14.27
205,Sisimiut,GL,2020-10-30 01:30:37,66.94,-53.67,21.29,94,95,7.05
206,Ballina,AU,2020-10-30 01:26:38,-28.87,153.57,84.0,73,0,14.99
207,Severo-Kurilsk,RU,2020-10-30 01:30:38,50.68,156.12,44.1,80,48,12.46
208,Ambilobe,MG,2020-10-30 01:30:38,-13.2,49.05,71.8,75,10,5.84
209,Ulaangom,MN,2020-10-30 01:30:39,49.98,92.07,29.25,81,100,1.97
210,Yar-Sale,RU,2020-10-30 01:30:39,66.83,70.83,17.01,97,100,8.41
211,Taoudenni,ML,2020-10-30 01:30:39,22.68,-3.98,75.25,19,0,14.63
212,Ambanja,MG,2020-10-30 01:30:40,-13.68,48.45,70.48,82,0,3.74
213,Pevek,RU,2020-10-30 01:30:40,69.7,170.31,19.81,95,100,11.43
214,Tezu,IN,2020-10-30 01:30:06,27.92,96.17,77.83,37,32,0.81
215,Weligama,LK,2020-10-30 01:29:36,5.97,80.42,77.29,83,100,5.3
216,Madison Heights,US,2020-10-30 01:30:40,42.49,-83.11,44.6,75,90,11.41
217,Sorong,ID,2020-10-30 01:30:40,-0.88,131.25,84.76,69,55,10.45
218,Rio Gallegos,AR,2020-10-30 01:30:40,-51.62,-69.22,51.8,50,40,10.29
219,Airai,TL,2020-10-30 01:30:40,-8.93,125.41,77.92,48,0,2.62
220,Luderitz,NA,2020-10-30 01:30:40,-26.65,15.16,56.39,74,0,27.83
221,Hue,VN,2020-10-30 01:30:41,16.47,107.6,78.8,88,75,2.24
222,Cangzhou,CN,2020-10-30 01:30:41,38.32,116.87,59.54,33,0,4.47
223,Aykhal,RU,2020-10-30 01:30:41,66.0,111.5,-5.78,90,88,2.91
224,Ostrovnoy,RU,2020-10-30 01:30:41,68.05,39.51,36.97,93,100,11.25
225,Puerto El Triunfo,SV,2020-10-30 01:30:41,13.28,-88.55,75.2,94,20,3.36
226,Marsh Harbour,BS,2020-10-30 01:30:42,26.54,-77.06,81.12,82,0,13.6
227,Hirara,JP,2020-10-30 01:30:42,24.8,125.28,78.8,78,75,16.11
228,Westport,US,2020-10-30 01:30:42,41.14,-73.36,46.4,93,90,16.11
229,Balkanabat,TM,2020-10-30 01:30:42,39.51,54.37,51.96,36,0,5.75
230,Avera,US,2020-10-30 01:30:42,33.19,-82.53,77.0,100,90,14.99
231,Mitzic,GA,2020-10-30 01:30:42,0.78,11.55,67.08,98,99,2.21
232,Riyadh,SA,2020-10-30 01:30:42,24.69,46.72,59.0,33,0,3.36
233,Iqaluit,CA,2020-10-30 01:30:43,63.75,-68.51,4.44,90,0,8.97
