City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
598,Dubreka,GN,77.11,few clouds,9.79,-13.52,Conakry
600,Loa Janan,ID,77.45,heavy intensity rain,-0.58,117.09,Samarinda
603,Luanda,AO,77.0,broken clouds,-8.84,13.23,Luanda
604,Hirara,JP,82.4,broken clouds,24.8,125.28,Hirara
606,Umm Kaddadah,SD,77.76,scattered clouds,13.6,26.69,Umm Kadadda
607,Langsa,ID,85.98,light rain,4.47,97.97,Langsa
608,Quang Ngai,VN,79.52,light rain,15.12,108.8,Quảng Ngãi
611,Auki,SB,85.51,moderate rain,-8.77,160.7,Auki
612,Cartagena,CO,77.0,light intensity drizzle,10.4,-75.51,Cartagena
616,Amahai,ID,85.08,light rain,-3.33,128.92,Amahai
617,San Rafael Del Sur,NI,78.8,scattered clouds,11.85,-86.44,San Rafael del Sur
620,Karratha,AU,82.2,scattered clouds,-20.74,116.85,Karratha
621,Bandarbeyla,SO,76.84,clear sky,9.49,50.81,Bandarbeyla
623,Karaton,ID,88.0,light rain,-6.34,106.1,Pandeglang
624,Kieta,PG,86.45,clear sky,-6.22,155.63,Kieta
625,Sokolo,ML,77.67,scattered clouds,14.73,-6.12,Sokolo
626,Tabanan,ID,85.71,light rain,-8.54,115.13,Tabanan
635,Anloga,GH,79.63,broken clouds,5.79,0.9,Anloga
636,Qui Nhon,VN,78.8,light rain,13.77,109.23,Qui Nhơn
638,Bontang,ID,82.13,moderate rain,0.13,117.5,Bontang
646,Katwa,IN,83.28,scattered clouds,23.64,88.13,Katwa
656,Tabou,CI,76.98,light rain,4.42,-7.35,Tabou
658,Hobyo,SO,79.34,light rain,5.35,48.53,Hobyo
667,Meulaboh,ID,83.75,light rain,4.14,96.13,Meulaboh
671,Galesong,ID,87.26,light rain,-5.32,119.37,Kampung Parang
675,Culebra,PR,80.6,overcast clouds,18.3,-65.3,Culebra
